timestamp,smoke,gas,temperature,humidity,shock,motion,status
187,651,273,25.98,62.24,0,0,0
188,671,227,24.71,65.25,0,1,0
189,699,265,24.57,68.32,0,1,0
190,664,233,25.71,65.38,0,1,0
191,586,252,25.39,63.5,1,1,0
192,581,220,24.37,68.1,0,0,0
193,581,286,23.13,67.21,0,0,0
194,617,228,22.9,64.91,1,1,0
195,665,243,25.2,64.05,0,1,0
196,666,233,26.04,68.11,0,0,0
197,652,241,23.45,66.2,0,0,0
198,654,289,23.04,67.1,0,0,0
199,604,295,25.31,67.97,1,0,0
200,632,290,26.42,66.51,0,1,0
201,641,265,24.58,66.4,1,0,0
202,605,248,23.17,64.4,1,1,0
203,692,278,25.69,62.49,0,0,0
204,690,243,25.11,66.36,0,1,0
205,615,239,25.34,65.44,0,1,0
206,688,292,24.58,66.49,0,1,0
207,596,220,27.37,65.91,0,0,0
208,618,254,25.6,67.07,1,0,0
209,673,231,24.13,65.5,0,0,0
210,640,236,24.91,67.24,0,1,0
211,641,299,25.46,67.22,0,0,0
212,666,299,24.46,67.27,0,1,0
213,594,278,25.98,66.27,0,0,0
214,696,226,25.54,65.57,0,0,0
215,666,258,26.63,60.58,0,0,0
216,593,250,26.08,61.98,0,1,0
217,582,256,21.96,68.6,0,1,0
218,618,234,25.21,68.78,0,0,0
219,592,252,25.32,67.78,0,1,0
220,634,261,24.47,63.63,1,0,0
221,618,265,26.47,64.63,0,1,0
222,696,276,23.07,67.14,0,1,0
223,609,244,25.34,61.83,0,1,0
224,628,222,22.77,65.4,0,1,0
225,597,281,23.09,67.27,0,1,0
226,658,292,24.71,64.23,1,1,0
227,638,256,26.18,65.57,0,1,0
228,590,281,23.65,66.76,1,1,0
229,638,291,25.2,66.98,0,0,0
230,688,293,24.85,65.0,0,0,0
231,582,225,25.62,68.39,0,0,0
232,588,239,26.7,64.86,0,0,0
233,667,222,24.34,67.27,1,0,0
234,690,292,22.31,64.24,0,1,0
235,608,228,24.92,65.62,0,0,0
236,590,278,23.84,64.29,0,1,0
237,584,267,23.99,65.98,1,1,0
238,656,247,20.82,64.26,0,0,0
239,637,286,26.59,63.74,0,0,0
240,688,252,25.29,66.61,1,1,0
241,676,278,25.49,67.43,0,0,0
242,668,272,26.21,69.06,0,1,0
243,586,224,24.56,64.33,0,0,0
244,610,221,25.03,68.56,0,1,0
245,675,232,25.23,66.09,0,1,0
246,674,279,24.53,64.66,0,1,0
247,684,282,23.58,65.2,0,0,0
248,601,287,25.62,64.75,1,0,0
249,643,236,25.9,67.95,0,0,0
250,601,269,27.42,64.52,1,0,0
251,655,226,26.36,65.09,0,1,0
252,666,245,24.86,63.55,1,0,0
253,678,232,25.11,68.33,0,0,0
254,654,251,25.29,64.87,0,0,0
255,606,286,25.78,65.8,1,0,0
256,638,225,24.59,69.1,0,0,0
257,637,257,24.15,64.66,1,0,0
258,604,243,26.14,65.31,1,0,0
259,651,279,25.32,65.54,0,1,0
260,658,246,25.55,67.22,0,0,0
261,643,263,26.5,66.98,0,1,0
262,657,290,25.45,64.49,1,0,0
263,617,267,24.11,65.97,0,0,0
264,696,221,24.24,67.99,0,0,0
265,651,240,24.79,64.62,0,0,0
266,674,257,26.23,63.81,0,1,0
267,681,260,24.97,64.86,1,0,0
268,596,295,27.88,65.95,1,0,0
269,653,259,23.95,66.08,0,1,0
270,612,296,24.79,64.54,0,1,0
271,682,265,26.1,67.11,0,0,0
272,623,268,25.25,67.76,0,0,0
273,674,251,25.45,65.66,1,1,0
274,671,281,25.62,68.62,0,0,0
275,654,299,26.58,66.4,0,0,0
276,582,260,24.73,63.57,0,1,0
277,591,231,23.76,64.94,0,0,0
278,634,251,28.56,65.81,0,0,0
279,601,256,23.65,67.13,0,0,0
280,672,273,26.31,65.78,0,1,0
281,640,243,22.76,64.2,1,1,0
282,599,279,23.13,70.0,0,1,0
283,679,285,26.58,66.88,0,1,0
284,694,277,26.77,68.76,0,0,0
285,678,245,25.59,66.52,0,1,0
286,623,233,24.97,68.35,0,1,0
287,639,233,22.32,66.47,0,0,0
288,649,236,25.45,65.83,0,0,0
289,680,224,26.33,64.58,1,1,0
290,624,242,23.13,65.46,0,1,0
291,593,299,22.49,66.51,0,0,0
292,580,224,25.78,63.22,0,0,0
293,643,247,24.61,70.15,0,1,0
294,623,275,26.24,66.48,1,0,0
295,640,239,24.91,65.93,0,0,0
296,599,245,25.88,65.84,0,0,0
297,692,270,26.1,66.69,0,1,0
298,690,262,27.51,65.72,1,0,0
299,624,271,23.87,67.29,0,1,0
300,693,220,24.14,66.97,0,0,0
301,690,266,26.04,66.99,0,0,0
302,653,249,27.88,65.88,1,0,0
303,683,295,25.24,65.48,1,0,0
304,580,238,26.01,69.63,0,1,0
305,645,283,26.21,65.5,0,0,0
306,656,250,25.68,66.71,0,1,0
307,689,223,26.26,67.14,0,0,0
308,684,242,26.55,65.48,1,1,0
309,633,290,23.47,62.71,0,0,0
310,639,252,24.23,63.35,1,1,0
311,669,230,26.97,68.02,0,1,0
312,625,228,26.18,65.35,1,1,0
313,649,247,23.33,62.71,0,0,0
314,623,234,26.23,61.63,0,1,0
315,687,262,24.7,66.78,0,0,0
316,594,287,24.77,67.11,0,1,0
317,647,271,25.63,66.41,1,0,0
318,587,235,25.31,65.04,0,0,0
319,656,223,25.11,68.63,0,0,0
320,687,293,24.35,67.03,0,1,0
321,692,261,24.01,65.7,0,0,0
322,623,264,25.57,66.28,0,1,0
323,697,240,24.66,66.8,0,0,0
324,589,261,24.67,67.5,0,0,0
325,616,287,25.96,64.88,1,0,0
326,653,237,24.32,66.86,0,1,0
327,648,266,25.6,65.28,0,0,0
328,600,241,25.05,65.71,1,0,0
329,611,230,24.33,63.26,0,0,0
330,604,221,25.8,62.9,0,0,0
331,621,258,26.25,64.96,1,1,0
332,681,261,25.2,66.5,1,1,0
333,680,255,24.3,63.97,0,1,0
334,620,287,26.49,65.57,1,0,0
335,623,246,23.39,67.65,1,1,0
336,646,263,23.59,63.53,0,1,0
337,666,263,25.83,69.89,0,0,0
338,609,227,24.01,66.32,0,0,0
339,672,250,24.19,67.05,0,1,0
340,609,274,24.12,68.47,1,1,0
341,663,222,23.69,65.37,0,1,0
342,683,284,25.09,68.45,0,1,0
343,661,291,24.37,66.72,1,1,0
344,617,233,24.65,65.18,0,1,0
345,684,221,25.1,67.42,0,0,0
346,631,281,27.59,63.74,0,1,0
347,614,241,25.3,66.0,0,1,0
348,685,231,24.47,68.33,1,1,0
349,609,297,25.68,67.2,1,1,0
350,652,234,23.57,65.29,0,0,0
351,661,297,25.06,66.34,0,1,0
352,604,273,26.09,62.8,0,1,0
353,659,273,24.38,67.86,0,0,0
354,585,244,24.04,66.7,0,1,0
355,647,244,24.87,65.86,1,1,0
356,675,232,25.87,65.08,1,0,0
357,622,221,23.84,66.83,0,0,0
358,662,253,24.17,65.87,0,1,0
359,610,275,24.28,62.52,0,0,0
360,600,292,24.15,67.71,0,1,0
361,595,223,23.47,67.25,0,0,0
362,631,271,26.14,66.85,0,0,0
363,680,282,23.36,65.55,0,0,0
364,671,233,24.51,63.68,0,1,0
365,634,221,24.72,63.91,0,0,0
366,600,229,23.81,67.16,0,0,0
367,592,272,23.81,65.94,1,0,0
368,642,240,23.57,65.92,1,1,0
369,661,271,24.63,68.05,0,0,0
370,692,283,24.2,68.08,0,1,0
371,639,267,25.81,65.02,0,1,0
372,639,240,24.98,68.62,1,0,0
373,665,291,25.44,65.49,0,1,0
374,624,288,25.11,69.44,0,1,0
375,656,291,25.28,65.09,0,0,0
376,603,243,25.01,64.91,1,1,0
377,610,230,24.27,68.39,0,0,0
378,584,227,26.2,64.49,0,0,0
379,645,298,24.61,65.5,0,1,0
380,657,260,24.97,67.15,0,1,0
381,589,240,24.91,63.87,0,1,0
382,592,272,25.05,67.66,1,1,0
383,677,230,24.01,66.4,1,0,0
384,657,241,25.38,65.67,1,1,0
385,630,265,23.55,68.27,0,0,0
386,591,266,26.01,64.37,0,1,0
387,587,265,26.07,67.47,1,1,0
388,654,241,25.48,64.7,0,1,0
389,674,298,26.49,66.04,0,1,0
390,622,256,25.29,71.2,0,1,0
391,598,242,25.9,66.76,0,0,0
392,680,227,24.7,65.96,0,1,0
393,584,222,26.55,65.15,0,0,0
394,589,240,25.86,68.89,0,1,0
395,620,232,26.97,71.25,0,1,0
396,637,273,25.99,67.6,1,0,0
397,595,289,24.02,61.81,1,1,0
398,603,245,23.3,62.48,1,0,0
399,600,293,23.17,68.53,0,0,0
400,599,236,24.34,71.12,0,0,0
401,667,299,25.88,64.01,1,1,0
402,603,253,26.93,69.12,1,1,0
403,598,268,23.81,66.77,1,0,0
404,655,249,25.1,68.61,0,1,0
405,673,274,23.95,67.56,0,1,0
406,692,266,23.77,69.71,1,1,0
407,691,266,24.73,64.08,0,1,0
408,654,228,25.43,66.1,0,0,0
409,686,289,22.72,66.34,0,0,0
410,621,254,26.24,65.61,0,1,0
411,616,268,25.83,65.79,1,1,0
412,669,223,25.12,66.29,1,1,0
413,620,273,24.44,65.31,0,0,0
414,663,243,24.62,65.96,1,1,0
415,685,249,26.06,64.61,0,1,0
416,595,273,26.39,65.52,0,1,0
417,652,264,26.26,70.07,0,1,0
418,629,252,24.8,66.22,0,1,0
419,611,294,25.08,67.03,0,0,0
420,621,245,23.12,64.94,0,0,0
421,637,240,25.95,63.49,0,0,0
422,667,268,25.56,65.93,1,1,0
423,640,260,24.01,65.67,0,0,0
424,612,243,24.65,66.3,0,0,0
425,596,289,25.66,65.13,0,0,0
426,584,221,23.65,67.3,0,1,0
427,595,270,25.74,70.11,1,0,0
428,619,257,24.78,68.75,1,0,0
429,642,268,24.22,64.4,1,1,0
430,647,234,25.39,65.5,0,1,0
431,671,233,24.65,62.87,0,1,0
432,605,282,23.93,66.23,0,1,0
433,623,261,23.83,65.99,1,0,0
434,668,269,24.85,64.25,0,1,0
435,591,293,24.69,64.54,0,1,0
436,680,291,24.46,68.56,1,1,0
437,683,261,27.42,62.34,0,0,0
438,659,222,25.95,65.46,0,1,0
439,681,252,24.49,66.18,1,0,0
440,611,267,24.76,63.67,0,1,0
441,697,238,25.23,66.48,0,0,0
442,595,220,25.32,65.91,0,1,0
443,592,253,23.57,65.49,0,0,0
444,604,222,27.15,66.45,0,1,0
445,584,280,23.49,63.98,0,1,0
446,585,279,24.64,62.09,0,1,0
447,687,292,24.89,61.52,0,1,0
448,671,249,25.65,64.32,1,1,0
449,641,252,24.32,65.18,0,0,0
450,626,277,23.63,70.03,1,1,0
451,596,288,25.52,66.76,0,0,0
452,612,235,24.62,64.65,1,1,0
453,626,258,25.56,63.99,0,1,0
454,698,282,26.04,65.24,0,1,0
455,594,282,26.75,64.97,1,1,0
456,596,258,25.34,67.49,0,0,0
457,670,242,24.54,63.72,0,1,0
458,593,291,24.71,63.97,0,1,0
459,663,244,24.51,65.87,0,0,0
460,601,267,25.65,67.77,1,1,0
461,624,290,26.2,70.11,1,0,0
462,598,266,23.23,65.48,0,0,0
463,615,259,22.96,67.06,0,0,0
464,632,278,25.79,69.06,0,1,0
465,671,227,24.57,67.59,0,0,0
466,699,274,26.49,66.23,1,1,0
467,591,254,26.02,64.63,0,0,0
468,600,288,24.03,64.57,1,0,0
469,696,292,25.32,67.28,0,1,0
470,667,284,23.66,65.78,0,1,0
471,631,241,26.93,68.63,1,0,0
472,608,270,25.09,62.8,1,1,0
473,601,295,27.61,65.65,0,1,0
474,613,274,26.09,65.57,0,0,0
475,640,231,25.97,66.41,0,1,0
476,685,284,23.3,60.81,0,1,0
477,593,254,23.45,60.74,0,0,0
478,640,268,26.3,64.84,0,1,0
479,641,273,24.81,67.34,0,0,0
480,620,236,24.62,64.41,0,0,0
481,620,258,27.28,65.88,0,0,0
482,656,265,24.56,63.75,0,1,0
483,651,291,23.58,67.67,0,1,0
484,612,264,25.83,66.84,0,0,0
485,609,266,25.17,64.77,0,1,0
486,645,287,24.0,61.58,0,0,0
487,598,247,26.1,66.23,1,1,0
488,694,234,24.37,69.01,0,0,0
489,653,285,25.28,67.83,0,1,0
490,630,292,26.14,66.57,1,1,0
491,606,221,26.54,66.23,0,1,0
492,581,260,22.96,64.71,0,0,0
493,624,298,22.65,67.47,0,1,0
494,617,247,26.26,65.33,1,0,0
495,624,292,26.2,64.66,1,1,0
496,677,251,25.35,66.52,0,0,0
497,642,242,25.95,62.5,0,0,0
498,636,252,26.68,72.17,1,0,0
499,586,287,24.81,66.86,0,1,0
500,597,254,24.33,65.58,0,0,0
501,628,257,25.13,68.39,1,1,0
502,635,295,23.87,66.28,0,0,0
503,629,288,23.66,66.2,0,0,0
504,625,283,22.88,63.1,0,0,0
505,594,249,25.06,65.9,0,1,0
506,680,254,25.29,67.81,1,0,0
507,692,248,23.15,63.03,1,1,0
508,647,288,25.22,63.64,0,0,0
509,665,272,24.74,68.46,0,1,0
510,611,270,25.04,63.36,0,1,0
511,600,263,25.2,68.52,0,1,0
512,642,243,24.37,67.13,0,0,0
513,678,243,23.52,66.99,0,1,0
514,607,224,28.17,62.99,0,0,0
515,643,230,24.29,61.8,0,0,0
516,697,230,24.19,66.15,1,1,0
517,620,265,25.02,67.31,1,1,0
518,631,289,22.87,68.52,0,0,0
519,612,281,24.29,68.75,0,1,0
520,694,270,24.87,67.91,1,0,0
521,626,223,24.87,68.78,0,0,0
522,651,264,26.4,65.59,1,1,0
523,598,282,24.84,68.01,0,0,0
524,689,280,27.35,65.52,0,0,0
525,633,229,24.51,64.51,1,1,0
526,645,260,23.93,64.63,0,1,0
527,626,254,24.36,67.71,0,0,0
528,644,255,25.62,67.43,0,0,0
529,683,227,25.84,68.36,0,0,0
530,615,254,24.08,66.42,0,1,0
531,625,297,23.03,62.73,0,0,0
532,678,291,25.13,65.73,0,1,0
533,613,264,25.04,67.22,1,1,0
534,619,236,26.75,66.01,1,1,0
535,639,285,24.81,64.58,0,0,0
536,613,258,23.09,64.48,1,1,0
537,634,246,25.07,65.32,0,0,0
538,596,249,25.07,66.55,0,0,0
539,636,244,21.38,66.37,0,1,0
540,651,273,25.25,65.02,0,1,0
541,607,272,25.28,68.74,0,1,0
542,656,278,24.11,67.78,0,0,0
543,657,253,25.4,64.11,0,0,0
544,655,268,24.25,66.03,1,1,0
545,617,269,22.51,65.14,1,0,0
546,643,248,25.22,63.89,0,1,0
547,647,234,24.87,67.28,0,1,0
548,635,295,24.1,66.68,0,1,0
549,608,252,23.99,66.82,0,0,0
550,686,232,24.3,64.34,0,0,0
551,647,266,27.69,65.18,0,1,0
552,596,267,26.18,65.38,0,0,0
553,691,237,26.52,67.26,0,1,0
554,650,232,26.48,65.36,0,1,0
555,595,228,24.56,70.21,1,1,0
556,676,264,24.88,65.13,1,0,0
557,615,237,25.17,65.32,0,1,0
558,644,240,23.95,63.17,0,0,0
559,697,273,22.91,66.24,0,1,0
560,625,232,23.17,63.73,0,0,0
561,679,233,24.74,60.72,0,1,0
562,596,231,24.91,66.03,0,0,0
563,679,279,26.69,64.9,0,1,0
564,595,266,24.47,65.33,1,0,0
565,697,272,24.77,64.62,0,1,0
566,616,225,22.73,64.55,0,0,0
567,634,277,25.75,63.55,1,1,0
568,659,262,25.71,69.98,1,0,0
569,630,292,26.51,66.36,0,0,0
570,699,291,24.43,65.2,1,0,0
571,608,248,24.88,62.71,0,1,0
572,666,263,25.03,66.46,0,1,0
573,607,241,23.49,64.77,1,0,0
574,685,276,26.54,67.12,0,0,0
575,590,296,25.6,68.28,0,0,0
576,607,294,24.03,63.48,1,1,0
577,667,273,26.18,65.85,0,1,0
578,693,245,24.0,70.18,0,0,0
579,629,257,23.07,66.37,0,1,0
580,600,265,24.77,65.29,0,1,0
581,661,297,22.35,69.07,0,0,0
582,673,225,23.29,65.47,0,1,0
583,612,294,25.54,66.74,1,1,0
584,649,260,25.06,66.66,0,0,0
585,668,237,24.14,66.31,0,1,0
586,605,225,25.66,64.84,0,0,0
587,677,236,25.03,67.14,0,1,0
588,698,227,24.9,63.51,1,1,0
589,690,284,26.78,65.56,1,1,0
590,693,263,25.74,65.59,0,0,0
591,622,261,26.06,65.1,1,1,0
592,670,241,24.48,65.87,0,1,0
593,592,264,24.57,64.7,1,0,0
594,606,253,24.22,68.64,1,1,0
595,696,254,24.9,64.66,0,1,0
596,596,237,22.79,69.22,0,1,0
597,580,277,24.04,67.49,0,0,0
598,601,260,25.13,67.17,0,1,0
599,630,240,26.94,66.21,0,0,0
600,639,290,24.77,67.84,1,0,0
601,685,234,23.3,66.43,1,0,0
602,691,238,24.48,66.17,0,0,0
603,670,287,25.81,65.27,0,0,0
604,690,243,26.08,67.49,1,1,0
605,583,286,21.49,68.5,0,1,0
606,695,242,24.8,67.33,0,1,0
607,620,276,24.22,66.27,0,0,0
608,636,229,24.3,64.82,0,0,0
609,663,222,24.29,64.07,0,0,0
610,615,260,24.7,68.27,0,1,0
611,641,244,23.98,64.15,0,1,0
612,691,266,24.28,68.84,0,1,0
613,692,235,25.1,64.38,0,1,0
614,638,253,25.5,68.8,0,1,0
615,589,236,23.09,67.59,0,0,0
616,600,284,23.98,67.08,0,0,0
617,667,285,26.3,67.99,0,1,0
618,580,242,24.75,65.86,0,0,0
619,652,232,25.77,63.77,0,0,0
620,660,282,25.88,68.28,0,0,0
621,643,284,24.78,62.07,1,1,0
622,675,287,24.65,65.86,1,0,0
623,683,297,23.18,65.29,0,0,0
624,662,225,25.6,66.1,0,0,0
625,644,288,25.84,66.84,0,1,0
626,643,281,22.42,68.19,0,0,0
627,653,239,26.26,68.99,0,1,0
628,601,276,24.22,67.54,1,0,0
629,646,235,25.03,66.2,1,1,0
630,651,231,23.8,63.8,0,1,0
631,596,225,26.46,64.26,0,0,0
632,697,278,24.19,65.53,0,0,0
633,665,288,25.2,65.92,1,1,0
634,586,298,25.32,65.28,1,1,0
635,672,239,23.84,64.09,0,0,0
636,636,227,25.04,64.48,0,1,0
637,585,277,24.72,64.15,0,1,0
638,669,260,25.12,63.11,0,0,0
639,582,229,27.05,66.24,0,1,0
640,603,293,24.02,66.87,0,0,0
641,670,248,27.12,64.74,0,1,0
642,678,285,26.43,68.03,1,1,0
643,684,278,25.79,62.93,0,1,0
644,644,245,27.59,64.04,0,1,0
645,630,267,23.27,68.86,0,1,0
646,644,264,23.16,67.03,1,0,0
647,580,229,26.35,65.33,0,1,0
648,611,225,24.97,65.65,0,1,0
649,664,244,23.07,65.12,0,0,0
650,652,246,25.02,65.83,0,0,0
651,620,261,23.85,67.3,0,0,0
652,696,242,24.91,65.52,0,0,0
653,622,267,24.7,67.4,0,0,0
654,641,277,26.91,69.27,0,1,0
655,698,229,24.68,67.79,1,0,0
656,642,296,24.43,68.65,0,0,0
657,698,227,24.78,64.76,0,0,0
658,585,258,24.06,63.24,0,0,0
659,588,275,24.5,68.73,0,0,0
660,639,259,27.39,64.47,0,0,0
661,671,237,24.34,67.72,0,1,0
662,636,296,25.03,62.16,0,0,0
663,633,287,24.18,64.2,0,1,0
664,617,220,26.79,66.17,1,0,0
665,693,290,25.97,67.09,0,0,0
666,647,288,27.24,62.03,0,0,0
667,640,282,24.41,67.14,0,1,0
668,584,255,23.34,68.9,0,0,0
669,659,280,26.28,61.72,0,0,0
670,601,260,25.5,67.69,0,1,0
671,666,299,24.53,69.18,0,0,0
672,608,256,26.91,64.72,1,0,0
673,691,242,26.91,65.07,0,1,0
674,680,225,24.19,67.93,0,0,0
675,609,251,24.66,66.85,0,0,0
676,694,255,24.69,65.32,0,1,0
677,618,266,23.35,64.87,0,1,0
678,607,243,26.23,70.18,0,0,0
679,641,238,23.98,69.44,0,0,0
680,608,269,25.64,62.08,0,1,0
681,672,267,25.16,66.6,0,1,0
682,640,248,25.43,65.91,0,0,0
683,592,288,25.9,68.22,0,0,0
684,682,272,25.64,68.67,0,0,0
685,582,298,24.68,66.73,0,1,0
686,595,244,26.1,68.15,1,0,0
687,672,299,24.59,65.45,0,0,0
688,650,297,26.6,66.09,0,0,0
689,594,222,24.96,65.6,0,1,0
690,597,270,23.92,64.65,1,1,0
691,585,295,25.69,64.5,0,1,0
692,695,276,24.96,66.71,0,0,0
693,697,298,24.92,64.86,0,1,0
694,657,283,26.86,67.62,1,0,0
695,639,294,26.55,67.94,0,1,0
696,686,221,24.75,70.22,1,0,0
